slot,home_score,away_score,status,special,lock
R32-03,0,1,finished,,
R32-09,2,1,finished,,
R32-01,1,1,finished,sim,
R32-04,1,1,finished,,
R32-10,1,2,finished,sim,
R32-02,3,0,finished,,
R32-11,2,0,finished,,
R32-12,2,1,finished,,
R32-08,3,2,finished,,
R32-07,2,0,finished,,
R32-06,3,0,finished,,
R32-05,2,1,finished,sim,
R32-15,2,0,finished,,
R32-14,1,1,finished,,
R32-13,3,2,finished,sim,
R32-16,1,0,finished,,
R16-02,0,3,finished,sim,
R16-05,1,2,finished,,
R16-01,0,1,finished,,
R16-06,2,3,finished,sim,
R16-04,1,4,finished,sim,
R16-03,0,1,finished,,
R16-07,3,2,finished,,
R16-08,0,0,finished,sim,
QF-01,2,0,finished,,
QF-03,1,2,finished,,
QF-02,2,1,finished,sim,
QF-04,1,1,live,sim,
SF-01,,,scheduled,,
