match_id,status,home_score,away_score,verified,lock
A1,finished,2,0,sim,
B1,finished,1,1,sim,
C1,finished,1,1,sim,
A2,finished,2,1,sim,
D1,finished,4,1,sim,
B2,finished,1,1,sim,
C2,finished,0,1,sim,
D2,finished,2,0,sim,
E1,finished,7,1,sim,
F1,live,2,2,,
E2,scheduled,,,,
F2,scheduled,,,,
H1,scheduled,,,,
G1,scheduled,,,,
H2,scheduled,,,,
G2,scheduled,,,,
I1,scheduled,,,,
I2,scheduled,,,,
J1,scheduled,,,,
J2,scheduled,,,,
K1,scheduled,,,,
L4,scheduled,,,,
L3,scheduled,,,,
K2,scheduled,,,,
A3,scheduled,,,,
B3,scheduled,,,,
B4,scheduled,,,,
A4,scheduled,,,,
D3,scheduled,,,,
C3,scheduled,,,,
C4,scheduled,,,,
D4,scheduled,,,,
F3,scheduled,,,,
E3,scheduled,,,,
E4,scheduled,,,,
F4,scheduled,,,,
H3,scheduled,,,,
G3,scheduled,,,,
H4,scheduled,,,,
G4,scheduled,,,,
J3,scheduled,,,,
I3,scheduled,,,,
I4,scheduled,,,,
J4,scheduled,,,,
K3,scheduled,,,,
L1,scheduled,,,,
L2,scheduled,,,,
K4,scheduled,,,,
B5,scheduled,,,,
B6,scheduled,,,,
C6,scheduled,,,,
C5,scheduled,,,,
A5,scheduled,,,,
A6,scheduled,,,,
E5,scheduled,,,,
E6,scheduled,,,,
F5,scheduled,,,,
F6,scheduled,,,,
D5,scheduled,,,,
D6,scheduled,,,,
I5,scheduled,,,,
I6,scheduled,,,,
H5,scheduled,,,,
H6,scheduled,,,,
G5,scheduled,,,,
G6,scheduled,,,,
L5,scheduled,,,,
L6,scheduled,,,,
K5,scheduled,,,,
K6,scheduled,,,,
J5,scheduled,,,,
J6,scheduled,,,,
